frame_idx,left_hip_angle,right_hip_angle,left_knee_angle,right_knee_angle
0,139.67570347976866,118.53003454886124,122.66998870349722,125.9246445782167
1,143.03458356952032,124.66600069394705,121.61498764411017,126.92964205485305
0,136.1518797280018,131.8620267916351,120.90313303133684,147.49949027822083
1,137.84300246958,128.84911081188443,122.06990212956069,143.03329352865848
2,135.80561791281187,121.9381405884783,121.64805496320932,137.01629763736904
3,135.26806856993178,123.09599698263247,121.30950560659288,140.0004881632142
4,133.7043155697915,124.7834296366689,121.35084339637211,135.45870291453718
5,134.97843441709156,125.04372386814367,121.06295163822023,135.20555352761272
6,135.64945474044126,118.56903614612648,121.30774257356858,126.76628802690976
7,135.37964292875915,119.55670020733497,121.09653526388989,127.56294366390712
8,135.40402513255145,119.97036120667437,120.85500970653383,127.11675001014714
9,142.40387582138663,125.53175408808325,122.95269142112737,129.78801137758813
0,135.72350065093346,143.3670882697481,121.76141843297921,139.1925897938249
1,132.7559482209418,142.53456977695234,121.06325613529921,142.8863893617698
2,132.85677780458255,142.84780131353085,121.0766219225023,143.8385663555725
3,136.0833864096791,149.91451287909575,122.25651789020232,151.30061736633166
4,137.6113194866936,152.5824258832341,123.18099603409712,152.2324866642198
5,137.99303887548865,153.46277231318481,123.29420018447668,151.70088874910067
6,137.45354463069074,153.95369920443935,122.62764964036744,151.0977118328834
7,136.5850447151911,152.93977404382002,121.84605060033807,149.57666702629106
8,136.7394995651874,151.8342890744297,121.58272437089092,148.38079897626056
9,136.57817757173797,152.3207149212241,122.02623162360665,151.59739627933706
10,135.77639283332775,151.00363371295137,121.1376110557915,149.82241520750057
11,135.61689214090526,150.20863690542308,121.29336172653082,148.75357047745044
12,135.98540941299197,150.068963708717,121.43916010192733,148.29130190531464
13,136.27061498166213,150.7742165702289,121.37309387985314,148.20135709601428
14,140.34524269345337,162.11910954695043,121.33767389050831,153.0963938486268
